312,global,64,-20057.732479,40243.464958
313,global,64,-1900.634242,3929.268484
313,none,128,-1754.521574,3765.043148
314,global,64,-13237.259219,26602.518438
314,none,128,-12573.821128,25403.642256
315,global,64,-24475.735931,49079.471862
315,none,128,-23362.140676,46980.281352
316,global,64,-9948.954364,20025.908728
316,none,128,-9482.706144,19221.412288
317,global,64,-25242.308364,50612.616728
317,none,128,-24208.69464,48673.38928
318,global,64,-18735.529204,37599.058408
318,none,128,-17735.081728,35726.163456
319,global,64,-29125.859073,58379.718146
319,none,128,-27536.306321,55328.612642
320,global,64,-10297.933998,20723.867996
320,none,128,-9650.43945,19556.8789
312,global,64,-20057.732479,40243.464958
313,global,64,-1900.634242,3929.268484
313,none,128,-1754.521574,3765.043148
314,global,64,-13237.259219,26602.518438
314,none,128,-12573.821128,25403.642256
315,global,64,-24475.735931,49079.471862
315,none,128,-23362.140676,46980.281352
316,global,64,-9948.954364,20025.908728
316,none,128,-9482.706144,19221.412288
317,global,64,-25242.308364,50612.616728
317,none,128,-24208.69464,48673.38928
318,global,64,-18735.529204,37599.058408
318,none,128,-17735.081728,35726.163456
319,global,64,-29125.859073,58379.718146
319,none,128,-27536.306321,55328.612642
320,global,64,-10297.933998,20723.867996
320,none,128,-9650.43945,19556.8789
