file	model
302_MAFFT_ALIGNED.fasta	LG+G
303_MAFFT_ALIGNED.fasta	LG+G
304_MAFFT_ALIGNED.fasta	LG+G
305_MAFFT_ALIGNED.fasta	LG+G
306_MAFFT_ALIGNED.fasta	LG+G
307_MAFFT_ALIGNED.fasta	LG+G
308_MAFFT_ALIGNED.fasta	LG+G
309_MAFFT_ALIGNED.fasta	LG+G
310_MAFFT_ALIGNED.fasta	LG+G
311_MAFFT_ALIGNED.fasta	LG+G
312_MAFFT_ALIGNED.fasta	LG+G
313_MAFFT_ALIGNED.fasta	LG+G
314_MAFFT_ALIGNED.fasta	LG+G
315_MAFFT_ALIGNED.fasta	LG+G
316_MAFFT_ALIGNED.fasta	LG+G
317_MAFFT_ALIGNED.fasta	LG+G+F
318_MAFFT_ALIGNED.fasta	LG+G
319_MAFFT_ALIGNED.fasta	LG+G
320_MAFFT_ALIGNED.fasta	LG+G
